suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
objective_weight_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.33
objective_weight_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.35
objective_weight_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.53
objective_weight_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.67
objective_weight_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.41
objective_weight_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.37
objective_weight_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.2,4,3,3,42,44,6000,365.6667,225.4423,60,597,,,,74.56,1.0,1967.3333,99,0,0.54
objective_weight_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.2,4,3,3,42,44,6000,364.6667,138.0684,199,537,,,,74.51,0.5,3606.3333,199,0,0.74
objective_weight_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.34
objective_weight_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.35
range_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.2,4,3,3,42,44,6000,559.3333,42.7421,500,599,,,,61.0,1.0,3022.6667,99,0,0.62
range_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.2,4,3,3,42,44,6000,310,194.5782,35,456,,,,78.36,0.5,3159,199,0,0.8
range_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.2,4,3,3,42,44,6000,150.6667,145.4701,37,356,,,,89.45,0.33,1940.6667,299,0,0.85
range_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.2,4,3,3,42,44,6000,43,10.6771,34,58,,,,96.99,0.27,814,498.6667,0,0.43
range_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.73
range_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.85
